Comuna;Region;PctPobreza;RemunMedia;TasaNatalidad;TasaMortalidad;TasaMortalidadInfantil;PctDesnutridos;PctSobrePesoInfantil;PctObesidadInfantil
Iquique;1;9,3;672591,375;18,39999962;3,953268051;7,973100185;2,696125984;25,34553146;10,60930538
Alto Hospicio;1;20,8;531625,625;20,79999924;0,737824023;6,064400196;4,228638172;22,44094467;8,719743729
Pozo Almonte;1;10,7;617871,875;13,39999962;11,62345314;4,034699917;3,923541069;20,42253494;5,231388092
Camiña;1;6,2;303216,2188;13,60000038;3,502403975;5,51940012;7,086614132;14,96062946;3,937007904
Colchane;1;21,42;430605,4688;4,900000095;1,490944028;3,13409996;1,538461566;27,69230843;3,076923132
Huara;1;6,3;562812,375;14,30000019;1,891332984;12,04959965;2,597402573;12,98701286;10,82251072
Pica;1;12;581943,4375;3,900000095;1,636062026;3,327600002;3,307888031;18,32061005;5,343511581
Antofagasta;2;8;819821,1875;16,70000076;4,422254086;8,309300423;2,694048166;21,05116653;8,541594505
Mejillones;2;6,2;694746,75;15,19999981;4,227697849;7,600500107;3,793626785;20,78907394;8,952959061
Sierra Gorda;2;3,8;787288,5;4,400000095;2,161784172;26,78960037;6,185566902;26,80412292;9,27835083
Taltal;2;2,7;712385,6875;14,10000038;4,453883171;7,0697999;3,272727251;30,36363602;12,18181801
Calama;2;6,5;917938,5;19,60000038;4,30004406;10,20330048;4,95217371;9,940670967;3,741373062
Ollagüe;2;18,93;510530,2813;0;1,338824034;0;6,666666508;6,666666508;0
San Pedro De Atacama;2;8,1;703546,5625;11,89999962;2,213480949;9,57559967;5,849056721;13,58490562;5,660377502
Tocopilla;2;8,5;669911,125;21,60000038;5,533889294;10,31779957;3,610315084;25,50143242;11,28939819
María Elena;2;6,3;712442,5;16,20000076;2,923883915;5,405399799;7,264957428;17,09401703;6,837606907
Copiapó;3;13,2;709183,875;17,79999924;4,271109104;10,79370022;3,379495621;22,66432381;8,836296082
Caldera;3;12,2;570459,375;19,10000038;3,532633066;9,32970047;1,449275255;24,47665024;9,339774132
Tierra Amarilla;3;11,3;643580,875;18,39999962;3,742202997;9,148900032;4,730538845;24,79041862;9,520957947
Chañaral;3;9,1;680326;18,39999962;4,604671001;12,72879982;1,937567353;18,72981644;10,54897785
Diego De Almagro;3;7,8;889662,5625;22,79999924;5,267589569;8,3895998;7,566302776;22,07488251;9,282371521
Vallenar;3;17,2;667459,875;18;4,844666958;8,592000008;3,274760246;26,70393944;9,105431557
Alto Del Carmen;3;5,7;409151,8125;12,39999962;2,739953041;12,39260006;3,864734411;21,73913002;8,454106331
Freirina;3;12;568064,625;17;3,883908033;10,32199955;3,257328987;20,84690475;12,05211735
Huasco;3;16,4;623466,125;19,10000038;4,406054974;8,090399742;4,081632614;24,21768761;9,523809433
La Serena;4;14,2;680043,125;14,89999962;4,675480843;8,967100143;2,179553747;23,22262573;9,228507042
Coquimbo;4;12,2;592983,5625;16,70000076;4,370423794;8,725399971;2,603585482;22,41315269;9,677899361
Andacollo;4;16,5;673837,625;24,5;5,06821394;9,318699837;8,650519371;17,87773895;6,228373528
La Higuera;4;16,5;553802,875;14,5;3,49343586;8,382900238;2;22,5714283;12,28571415
Paiguano;4;8;432305,1875;16,20000076;3,561650991;6,05369997;2,50626564;20,30075264;6,516290665
Vicuña;4;13,6;453553,2188;16,20000076;3,842767;8,304800034;2,637776852;21,24352264;8,384362221
Illapel;4;8,9;581420,8125;14,10000038;4,680559158;8,347700119;1,349464893;25,5002327;9,353187561
Canela;4;19,4;515687,3438;12,80000019;4,154345036;10,2833004;1,051051021;22,37237167;4,504504681
Los Vilos;4;22;484783,9688;14,60000038;5,051990032;10,51159954;3,600293875;23,43864822;10,13960361
Salamanca;4;14;566101,3125;15,89999962;4,6995821;9,0291996;5,172413826;19,21182251;8,325122833
Ovalle;4;24;499926,5938;16,10000038;4,715697765;8,724200249;2,761608124;23,01340103;9,516718864
Combarbalá;4;26,7;432255,0313;11,30000019;4,746190071;8,14470005;2,444703341;22,46798515;10,94295692
Monte Patria;4;13,8;407841,7813;14,10000038;4,130822182;7,577300072;2,323865891;21,61564064;7,893765926
Punitaqui;4;15,2;526339,625;14;4,620042801;7,47879982;2,03045702;27,10659981;8,832487106
Río Hurtado;4;11,1;446613,9375;13,5;4,339382172;12,3817997;5,483870983;24,83870888;8,709677696
Valparaíso;5;16,1;496279,1563;15;6,9251647;8,920499802;3,173132658;24,80023193;9,733642578
Casablanca;5;17,8;435151,2188;11,69999981;5,182645798;9,564700127;0,83420229;22,00208473;8,91553688
Concon;5;20,7;711098,25;9,699999809;3,838095903;6,331500053;1,619433165;27,63157845;11,58906841
Juan Fernández;5;12,25;462062,7188;7,199999809;5,77904129;0;0;28,26086998;17,39130402
Puchuncaví;5;16,9;489857,9688;15,80000019;5,632853985;10,33010006;4,59574461;23,31914902;10,97872353
Quilpué;5;15,9;476253,625;12,5;4,978856087;7,510300159;2,767371655;22,93655586;8,906344414
Quintero;5;14,8;542056,4375;14,5;5,199521065;5,144599915;0,173460543;19,7745018;9,71378994
Villa Alemana;5;15;451469,3125;11,80000019;5,342782974;8,295599937;3,207285643;24,21302795;9,364481926
Viña Del Mar;5;17,3;585139,9375;14;5,935316086;7,522600174;2,274789333;24,98379707;9,598185539
Isla De Pascua;5;18,17;560060;14,30000019;4,690637112;8,064499855;3,030303001;24,24242401;8,658008575
Los Andes;5;7,6;653262,25;14,39999962;5,590319633;8,616000175;3,588110447;20,1061573;8,343949318
Calle Larga;5;9,7;508162,0625;16,79999924;4,913973808;10,38619995;3,333333492;17,88888931;7,555555344
Rinconada;5;10,4;422650,1875;20,60000038;4,655086994;8,857000351;3,713188171;22,02304649;6,274007797
San Esteban;5;12,8;513363,2813;14,39999962;4,907832146;5,49119997;2,090032101;16,80064392;7,958199501
La Ligua;5;26,4;434509,3125;12,5;4,969370842;8,703700066;1,121856928;26,07350159;11,87620926
Cabildo;5;12,2;493137,8438;15;5,132339954;6,291699886;2,397660732;15,78947353;9,707602501
Papudo;5;16,4;401366,875;8,600000381;4,820245743;0;0;20,7182312;5,248618603
Petorca;5;15,5;461373,7188;13,10000038;5,377697945;7,233399868;0,988875151;20,64276886;10,50679874
Zapallar;5;2,1;408376,9375;10,19999981;4,01536417;4,103700161;1,571709275;26,52259254;8,251473427
Quillota;5;15,4;500991,3438;13,89999962;6,106865406;7,111299992;2,364511251;17,4932003;6,71688652
Calera;5;26,5;538921,375;14,30000019;5,937406063;7,046800137;2,100321293;23,2023716;8,549542427
Hijuelas;5;16,2;436078,3438;13,39999962;5,22927475;11,46560001;0,86268872;24,58662796;11,64629745
La Cruz;5;11,4;552135,75;16,89999962;4,778384209;7,248400211;1,423785567;23,03182602;9,631490707
Limache;5;30,9;399486,3125;14,10000038;6,289929867;8,753800392;0,376068383;20,99145317;9,367521286
